Name,Date and Time,status
RIYA JAIN,05/28/22 15:24:57,Check In
RIYA JAIN,05/28/22 15:25:10,Check Out
RIYA JAIN,05/28/22 15:40:19,Check In
RIYA JAIN,05/28/22 15:40:46,Check Out
RIYA JAIN,05/28/22 15:41:58,Check In
RIYA JAIN,05/28/22 15:42:26,Check Out
RIYA JAIN,05/28/22 15:46:09,Check In
RIYA JAIN,05/28/22 15:46:24,Check Out
ANNE HATHAWAY,05/28/22 15:49:09,Check In
ANNE HATHAWAY,05/28/22 15:49:16,Check Out

RIYA JAIN,05/28/22 18:41:00,Check In
OBAMA,05/28/22 18:41:24,Check In
RIYA JAIN,05/28/22 18:41:44,Check Out
OBAMA,05/28/22 18:42:03,Check Out
RIYA JAIN,05/28/22 20:11:40,Check In
RIYA JAIN,05/28/22 20:11:47,Check Out
RIYA JAIN,05/28/22 21:21:32,Check In
RIYA JAIN,05/28/22 21:21:45,Check Out
